#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.3600174,31.1167686,2022 Mar 11 12:00:00 AM,Yes,,Uganda,Kikuube,Kiziranfumbi,"2,005",,Functional,843.0,250.0,False,,KIKUUBE
1.42095855,31.23451973,2010 May 06 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"2,000",Community Management,"Functional, needs repair",894.0,300.0,False,,KIKUUBE
1.35701927,31.34077243,2010 May 07 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba Town Council,"2,004",Community Management,"Functional, needs repair",470.0,300.0,False,,KIKUUBE
1.2185056,30.8458291,2022 Feb 28 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,002",Community Management,Functional,1061.0,300.0,False,,KIKUUBE
1.3160277,31.2067677,2022 Mar 07 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,010",Community Management,Functional,798.0,300.0,False,,KIKUUBE
1.32929537,31.19190952,2010 May 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"1,993",Community Management,"Functional, needs repair",878.0,300.0,False,,KIKUUBE
1.2695161,31.3498591,2022 Mar 02 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"1,997",Community Management,Functional,865.0,300.0,False,,KIKUUBE
1.36260216,31.18313383,2010 May 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,003",Community Management,"Functional, needs repair",878.0,300.0,False,,KIKUUBE
1.3391997,31.19515,2022 Mar 05 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,005",,Functional,878.0,250.0,False,,KIKUUBE
1.2246331,31.0434919,2022 Mar 05 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,015",Community Management,Functional,731.0,250.0,False,,KIKUUBE
1.3699072,31.1837632,2022 Mar 03 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,015",Community Management,Functional,919.0,250.0,False,,KIKUUBE
1.4700874,31.2714103,2022 Mar 07 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"2,006",Community Management,Functional,386.0,250.0,False,,KIKUUBE
1.180301,30.7400885,2022 Mar 12 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,012",,Functional,520.0,300.0,False,,KIKUUBE
1.1900099,30.779562,2022 Mar 10 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,015",Community Management,Functional,3105.0,300.0,False,,KIKUUBE
1.442106,31.2286441,2022 Mar 02 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"2,005",Community Management,Functional,1002.0,250.0,False,,KIKUUBE
1.213195,30.7905917,2022 Mar 04 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,"2,004",,Functional,1230.0,250.0,False,,KIKUUBE
1.3121658,31.3697375,2022 Mar 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,018",Community Management,Functional,620.0,300.0,False,,KIKUUBE
1.24707829,31.01661053,2010 May 17 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,009",Community Management,"Functional, needs repair",207.0,300.0,False,,KIKUUBE
1.287767,31.3451493,2022 Mar 01 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,014",Community Management,Functional,821.0,300.0,False,,KIKUUBE
1.32644518,31.35693977,2010 May 07 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"2,001",Community Management,"Functional, needs repair",628.0,300.0,False,,KIKUUBE
1.30483,31.1635723,2022 Mar 11 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,004",Community Management,Functional,1150.0,300.0,False,,KIKUUBE
1.4206987,31.26135892,2010 Oct 01 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"1,999",Community Management,"Functional, needs repair",973.0,300.0,False,,KIKUUBE
