#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.3291185,31.2072354,2022 Mar 03 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,021",,Non-Functional,2013.0,300.0,False,,KIKUUBE
1.2207686,30.7886708,2022 Mar 03 12:00:00 AM,No,,Uganda,Kikuube,Kyangwali,"2,007",,Non-Functional,1638.0,250.0,False,,KIKUUBE
1.1677738,30.7856457,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,4013.0,300.0,False,,KIKUUBE
1.26467204,31.3619484,2010 May 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,004",Community Management,Non-Functional,626.0,300.0,False,,KIKUUBE
1.25576717,30.82432431,2010 May 05 12:00:00 AM,No,,Uganda,Kikuube,Kyangwali,"2,002",Other Institutional Management,Non-Functional,1262.0,50.0,False,,KIKUUBE
1.1516051,30.7992134,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,4039.0,300.0,False,,KIKUUBE
1.38520224,31.27037035,2010 May 06 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,"1,992",Other Institutional Management,Non-Functional,1455.0,300.0,False,,KIKUUBE
1.3503459,31.2333664,2022 Mar 02 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,010",,Non-Functional,685.0,300.0,False,,KIKUUBE
1.107989,30.7439957,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,021",,Non-Functional,795.0,300.0,False,,KIKUUBE
1.2122711,30.7998233,2022 Mar 04 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,015",,Non-Functional,1431.0,300.0,False,,KIKUUBE
1.1907519,30.7793199,2022 Mar 10 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,021",Community Management,Non-Functional,2904.0,300.0,False,,KIKUUBE
1.25379179,31.24957167,2010 May 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,000",Community Management,Non-Functional,642.0,300.0,False,,KIKUUBE
1.1774261,30.7584196,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,016",,Non-Functional,1419.0,300.0,False,,KIKUUBE
1.2353036,30.7342423,2022 Mar 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,009",Community Management,Non-Functional,2081.0,300.0,False,,KIKUUBE
1.4367356,31.2290041,2022 Feb 28 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,"2,000",Community Management,Non-Functional,1202.0,300.0,False,,KIKUUBE
